,Unnamed: 0,ResponseId,ConvertedCompYearly,C++,HTML/CSS,JavaScript,Objective-C,PHP,Swift,Python,Assembly,C,R,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Ruby,Perl,Matlab,Kotlin,Julia,Haskell,Delphi,Go,Scala,Dart,VBA,Groovy,Clojure,APL,LISP,F#,Elixir,Erlang,Crystal,COBOL,PostgreSQL,SQLite,Elasticsearch,Redis,MySQL,Microsoft SQL Server,Oracle,MongoDB,MariaDB,DynamoDB,Couchbase,Firebase,Cassandra,IBM DB2,Laravel,Symfony,Angular,Flask,Vue.js,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,FastAPI,ASP.NET Core ,Spring,Svelte,ASP.NET,Gatsby,Drupal,Heroku,Microsoft Azure,AWS,Google Cloud Platform,DigitalOcean,Oracle Cloud Infrastructure,IBM Cloud or Watson
Unnamed: 0,1.0,1.0,-0.01289929809162258,-0.026111601604222153,0.009571385610804865,0.016589146665515173,-0.020189678987909736,0.004928724685275201,-0.004321571738438841,-0.015278123740114244,-0.0172098539540093,-0.03440361852971113,0.024596630064460636,-0.13347359778886098,-0.030685328791398472,-0.023314183274859384,-0.01331406182633862,-0.005731164548391766,0.010552595922400277,0.008792423472785589,-0.010145110472128521,0.015159679970410008,-0.017325041022394298,-0.000752296112311214,-0.019900476852025395,0.051808917516547745,-0.013005622258960478,-0.02301454744395987,-0.029295200807520003,0.012726913369689589,-0.0053912475984092606,-0.016216228804589318,-0.0031442332172968435,0.12154826087148023,-0.017474373856053688,0.026630668660370074,-0.0244999513328333,0.011923558116996294,0.012805850965560958,0.0082919609836192,0.024221346103349164,0.003346883930553688,-0.026951241179372067,-0.00840460974100143,-0.009544619318159748,0.01825871528266,0.006562159706754205,0.006607445815269652,0.012080904122170404,0.004326710028272516,0.006695972401362504,-0.0054920794109018555,0.015895417753504087,0.011560833322538952,0.004186687003582014,-0.0023361848370359226,0.003281854610244729,0.018825826805515887,0.003189642279721016,-0.01993778174030663,0.00820939425230538,0.013529695332754364,0.020559764671732487,0.0011309009539401458,0.019904315343135637,0.00816352762139711,0.007218571561470249,0.0015466018013870148,0.011406163877637768,-0.0022924416250173305,0.009060671806446742,-0.012907073623737681,0.013620832005737849,0.02183455801997563,0.005548410316679298,0.010698683824494815,-0.01972629284285989,0.0021244844077951772,0.001474057277153992,0.016620747967831015
ResponseId,1.0,1.0,-0.01289929809162258,-0.026111601604222153,0.009571385610804865,0.016589146665515173,-0.020189678987909736,0.004928724685275201,-0.004321571738438841,-0.015278123740114244,-0.0172098539540093,-0.03440361852971115,0.024596630064460636,-0.13347359778886098,-0.030685328791398472,-0.023314183274859384,-0.01331406182633862,-0.005731164548391768,0.010552595922400277,0.008792423472785589,-0.010145110472128521,0.015159679970410008,-0.017325041022394298,-0.000752296112311214,-0.019900476852025395,0.051808917516547745,-0.013005622258960478,-0.02301454744395987,-0.029295200807520003,0.012726913369689589,-0.0053912475984092606,-0.016216228804589318,-0.0031442332172968435,0.12154826087148023,-0.017474373856053688,0.026630668660370074,-0.0244999513328333,0.011923558116996294,0.012805850965560958,0.0082919609836192,0.024221346103349164,0.003346883930553688,-0.026951241179372067,-0.008404609741001434,-0.009544619318159748,0.01825871528266,0.006562159706754205,0.006607445815269652,0.012080904122170404,0.004326710028272516,0.006695972401362504,-0.0054920794109018555,0.015895417753504087,0.011560833322538952,0.004186687003582014,-0.002336184837035925,0.003281854610244729,0.018825826805515887,0.003189642279721016,-0.01993778174030663,0.00820939425230538,0.013529695332754364,0.020559764671732487,0.0011309009539401458,0.019904315343135637,0.00816352762139711,0.007218571561470249,0.0015466018013870148,0.011406163877637768,-0.0022924416250173305,0.009060671806446742,-0.012907073623737681,0.013620832005737849,0.02183455801997563,0.005548410316679298,0.010698683824494815,-0.019726292842859896,0.0021244844077951772,0.001474057277153992,0.016620747967831015
ConvertedCompYearly,-0.01289929809162258,-0.01289929809162258,1.0,0.04853845195668206,-0.13046499859122945,-0.09454974665452863,0.05391567007689294,-0.10152894136368647,0.050158978726006935,0.04714425942662775,0.02159212430834546,0.04155911874893629,-0.027495885711605127,0.08758306787444102,0.02201829147958213,0.07961710220112932,-0.07601721103867093,-0.10296572181893748,0.0887313573222726,-0.015543708172393762,-0.0702459727099748,0.08343909182781138,0.03425259177241766,-0.031251521303337214,0.05349130042511958,0.008115595997738085,0.02330139530775819,-0.01845815313485256,0.16573028184396976,0.10372530990764546,-0.020158460717007606,-0.08162594892086186,0.0695921995611514,0.08780584536366984,0.03870054136828224,0.014502469835550461,0.04139849445515387,0.04778203606196598,0.047483882660615304,0.003357312593260116,-0.018936811852826165,0.07923328967146225,0.011081419726831635,0.13166191972245095,0.12599092529491243,-0.053044088547691944,-0.12149873414712563,-0.053229801609816656,-0.005807203710489455,-0.03070024168939108,0.1280208801859397,0.027515015239061736,-0.02362865467641529,0.08424129493348195,-0.04010379028175284,-0.0722426914308951,-0.0392971283463131,-0.029223016846264344,0.01982876306236289,-0.06448439719643034,-0.10986758204361703,-0.009469352308261498,0.024505513354778075,-0.013129199343035594,0.06431580986641523,-0.032286767393514826,0.018621773550946682,-0.07140929600071967,0.03426659779591725,0.012681978191874128,-0.09941117201058602,-9.65300736861437e-05,-0.03634412419627259,-0.009552891445449753,-0.01536390842421483,0.1345458403450255,0.08754389302998529,-0.00356869804960384,0.008728441066063278,0.015891757064579022
C++,-0.026111601604222153,-0.026111601604222153,0.04853845195668206,1.0,-0.09671065192330307,-0.11681640320484837,0.08758682467853572,0.007733716639620128,0.037892588944129627,0.198835401955894,0.2700743501892648,0.5348320316806247,0.032846792882330854,0.1365107615859694,-0.07861645383562929,0.12103411206739638,-0.0968850281194148,0.03593838841945251,0.06182766511671589,-0.03430711187961379,0.03327540599537673,-0.05451066889411279,0.12079636757346164,0.16402779947445695,-0.009901939439845756,0.04823152175323819,0.04913845220744914,0.057540835314549746,0.0644293074558044,-0.004225206839349958,0.016229492228535872,0.023589404381891763,0.00881520046383474,-0.04461692797881048,0.006101356172582393,0.036635900676511214,0.034227998784970015,-0.022715898625385506,0.014867697010429011,0.007401956944820732,0.05497482293824308,-0.054811066592978464,0.0996048404212997,-0.05130953834932013,-0.05367261999885442,-0.0008996549734525706,-0.09076252328844313,-0.016793476252091828,0.014128232824314304,0.03241493742796049,-0.039433677528994536,0.010240080195328266,-0.007703952858379329,0.00460633529026402,0.006945263023910687,-0.01790465851183841,0.0006790102290364153,-0.03713144669060519,0.05535177254866549,-0.04100746465309365,-0.04752813074545781,-0.03341719996163898,-0.10017833025230373,0.0004355207251925127,-0.07655477299313322,0.013947335443662313,0.004075818342313204,-0.048556696186958834,-0.046722767479743896,0.00048757239689100755,-0.043447034644828415,-0.03226459556801081,0.009070172709139955,-0.055636468990056774,-0.02900343448367181,-0.08119993778010896,-0.00963471976756006,0.019417148408024804,-0.00018626405359583098,0.02158148879912924
HTML/CSS,0.009571385610804865,0.009571385610804865,-0.13046499859122945,-0.09671065192330307,1.0,0.5577639932130458,-0.00018223567332750223,0.20167088216602996,0.008492733907657039,-0.048108677713758444,-0.0009579656323851284,-0.06126034640721452,-0.02476639652896596,-0.03018874590792133,0.28775149373907294,0.07490434667678832,0.23878521950847015,0.12554964199986351,0.012637257377122846,0.32717701029259083,0.12155670860888637,0.07591931390016866,0.01590163799622218,-0.03244198389170694,-0.018252634417658377,-0.035935133733578054,0.0004028025796193401,-0.021025179977693948,-0.0014781403683866569,-0.028025074930429078,0.034652409484578865,0.03880289444885103,-0.0030888901610659604,-0.051002666802630464,-0.018768573346120556,-0.002844776271591858,0.0051697132618464215,0.009122795054692786,0.00821525254416933,0.026360219557025544,0.028041388743598412,0.07065256282824026,0.08066944087196727,0.048266174749535644,0.10103047430063072,0.17653051874367684,0.1270026391183477,0.04506862181284257,0.10323231416827057,0.10133428011317795,0.01670773830602719,0.014250451713522594,0.11168316833958931,-0.016762248142092036,0.023859994355817316,0.09864584103281487,0.06498824503529912,0.19702143812966752,0.033084343432237956,0.18954895497524885,0.31246459088428497,0.19954707852198394,0.2504622718794645,0.15617150641294886,0.08574003158721757,0.06917985612871849,-0.006511589959780943,0.14538569128981907,0.0274099580819433,0.07714885179088424,0.1687792228635965,0.11541929715236546,0.08127487093839615,0.13202483351506109,0.1002861085155271,0.042398718445717985,0.0657480161667279,0.09941266730472162,0.010024762569270812,0.016734227146688197
JavaScript,0.016589146665515173,0.016589146665515173,-0.09454974665452863,-0.11681640320484837,0.5577639932130458,1.0,0.014745851290190832,0.2033835767757183,0.024132759598498386,-0.07672817027396263,-0.021631869923277935,-0.08346858834359046,-0.07646636947935653,-0.017049990390383723,0.3709629077215451,0.04789801358544101,0.2127009675783421,0.10602811989984749,0.058856615723977705,0.4314587039378592,0.082121245297178,0.11835381736167463,0.003955618949819854,-0.05301086071508034,-0.004897660705041333,-0.05523397667980882,0.0008036420251604536,-0.021812059445636026,0.02421623325538454,-0.01922433192506024,0.04867199944301305,0.0014639467075975648,0.013952928106619106,-0.035674801792403926,-0.01717564255184668,-0.007716029389122024,0.014013992286290123,0.043427168861765765,0.01657369410134814,0.012149680419384103,0.027383511505957678,0.13724116256041208,0.07726098870512313,0.10284332820069302,0.1565370453489426,0.174997671652494,0.10151078269966608,0.024142667009495238,0.1493587162634588,0.10160350668702699,0.07443546339584096,0.03233576181407822,0.13203027427073874,-0.004500002253813818,0.006861370147022201,0.11656712649076505,0.06246507785978355,0.20249231456479355,0.03599909028729765,0.2228187882001691,0.334581106005577,0.26077229043437916,0.37897688619094605,0.17255313961603694,0.12309439370413637,0.06623355226633276,0.024060976133511016,0.15637766036999756,0.06610841618359314,0.07162076339608295,0.16360991590816243,0.11557642218482835,0.07670117459279142,0.16672975876880602,0.10274004430156321,0.14057865767787814,0.09787383798754028,0.12155778495387667,0.002322010980543268,0.0058166352551060245
Objective-C,-0.020189678987909736,-0.020189678987909736,0.05391567007689294,0.08758682467853572,-0.00018223567332750223,0.014745851290190832,1.0,0.077152376867956,0.4772564470201212,-0.006236247505259218,0.05319775687673076,0.09903262960523734,0.0013563551064276508,0.008013064611133418,0.02910010818887594,0.034207661857727396,-0.020820598823392395,0.008840142490264224,0.0870130558751212,0.04934628283163856,-0.0053496080694404955,0.035579287036652335,0.06532755331934441,-0.001150503122152557,0.14947658103322078,-0.0031564479101142337,0.012993401510611319,0.024844854532499284,0.04424458901460505,0.008569808275810603,0.07144499340267703,0.006213026127511444,0.01327034168603152,0.0005445862091344228,0.022964315533897637,0.02769403628905515,0.015151245363637964,0.0297825185880127,0.022533539297522758,0.014061279439275319,0.025433364243357404,0.004491252704088526,0.10918055838027961,0.013801178873573832,0.022950385677857735,0.047541951194668405,-0.01641569317359279,0.01687974148217177,0.04672350476083202,0.035469837895539334,0.014071243810987863,0.022628020977584134,0.1004400059256406,0.004571958086414102,-0.0009410375345872075,0.06438067427536538,0.04260897374372927,0.0001762083785420146,0.004827714367197276,0.022297574481822003,0.014107327619437518,0.04315454563700998,0.015552958313503626,0.0342351438924241,0.016020810811076976,0.010481256647761852,0.009034398698862954,0.0007652172952877269,0.020075145690580578,0.019042765176835973,0.0003635283582998729,0.028025281855309676,0.07381298109053783,0.03938800624150624,0.012896355008518748,0.033367321867709875,0.041687233361162104,0.039068896434792694,0.0005514363965356574,0.04706929704971643
PHP,0.004928724685275201,0.004928724685275201,-0.10152894136368647,0.007733716639620128,0.20167088216602996,0.2033835767757183,0.077152376867956,1.0,0.0462619283786138,0.0017561847716420064,0.010501542809653711,0.019287421274647283,-0.017837415775025393,-0.027782191527726846,0.03583953602478741,0.06645707303027831,0.167250478045499,-0.01712493791541874,0.011753065052901445,0.1573486563269572,0.03468321112352001,0.012476795943634496,0.10549896917676085,-0.005489779918817413,0.005103819581624672,-0.011531039561646602,-7.17043181966305e-05,0.03025205454961817,0.014256236325695526,-0.03503058216891575,0.02050339192267398,0.05173601988244626,-0.020271733522260218,-0.02756018934792528,-0.011123460075469783,-0.014192302160253968,-0.01487591399919467,-0.00023746349633316818,0.010543548138091012,0.016026569583176838,0.03191813388150979,0.002212614138690893,0.11285910993350302,0.055095917303360345,0.08586352213473401,0.3864037741294381,0.0018969045823739867,0.013330257140964013,0.061962576649389485,0.3317531508331063,0.006392514663010412,0.021993077065288923,0.04549880677039068,0.0023526911241258355,0.020340899244898257,0.4563739443663637,0.28798035574397063,0.03751139569999421,-0.010698803237080027,0.19119611584403695,0.2794503079234041,0.0797166732938579,0.07632133970638758,0.07521009170638776,0.011092520130376083,0.03581648363303478,0.005552421584676259,-0.027874944149435952,-0.007791655135359556,0.032295245059461936,0.0057268490842894045,0.06114651148114864,0.2798664254502768,0.06099778239800061,0.002625229660064554,0.09949661101975485,0.061000573186706444,0.1617892972753953,0.01901530686261038,0.023699269942133675
Swift,-0.004321571738438841,-0.004321571738438841,0.050158978726006935,0.037892588944129627,0.008492733907657039,0.024132759598498386,0.4772564470201212,0.0462619283786138,1.0,0.0033686031926222094,0.01679804578047903,0.06201535103446111,-0.005733692181807156,0.03162871143086892,0.05662232168137823,0.006781893629325316,-0.033800605270655204,-0.01634206228245164,0.07534558261277154,0.06368296599072255,-0.01709614638437848,0.033301800553222384,0.022915831781268863,0.014679455212782534,0.2271325837943134,0.004501528566345494,0.015203804878614306,-0.0004348224471973667,0.029535125295258344,-0.0059848668930691535,0.10789778252385239,-0.009047299532884244,0.01725145794254746,-0.009851814333133061,0.020955497986693,0.01571969260463992,0.02066423755040367,0.04908454202512492,0.030469530743760246,0.025702774288089085,0.03524988430302041,0.019029988643840975,0.11655980305118226,0.0093258885266409,0.02572107898309622,0.03329598625971832,-0.031164675085023023,-0.004190713621371835,0.06387499150385258,0.014602146803688829,0.03070626782888359,0.03613702146949285,0.18947720492089787,0.0043613930314622676,-0.0038341000453123307,0.04397328947621153,0.020718565195883644,0.02327490469973493,0.003081780722736434,0.025774910997590734,0.004518328753917826,0.05862591223294923,0.03987588583354997,0.02374325594369846,0.014931858753446204,0.019588349570836508,0.0030399709372426025,-0.01542602015423816,0.01684958409018833,0.0397154269904473,-0.01757428778174593,0.029823594113231374,0.03878909107471887,0.057749814641818116,0.004486834460887622,0.036347893991651364,0.0688377542748331,0.055434311910078804,0.005331042555507635,0.03309340063920723
Python,-0.015278123740114244,-0.015278123740114244,0.04714425942662775,0.198835401955894,-0.048108677713758444,-0.07672817027396263,-0.006236247505259218,0.0017561847716420064,0.0033686031926222094,1.0,0.09739855152306497,0.2046480771098223,0.13806051076262124,0.11197353814278747,-0.08510094904106007,0.24305228814159233,0.00789371159380779,-0.15948022332589207,0.08329869646472988,0.027093425642682765,0.021413991000021705,-0.03525607177802295,0.07860930109589333,0.11649299491180802,0.026464495665625795,0.06893430144814511,0.05954915586715087,-0.03825468742969178,0.13446576434201235,0.06265873892560443,0.018050769874982574,0.01251716559742872,0.06261497386107832,-0.019615365968746044,0.018478086479575086,0.04440194830747238,0.003244985585588101,-0.01246063054274458,-0.0008493459936982994,-0.011065580500619255,0.0011805462789680047,0.14120110734616328,0.13792383675843278,0.0828581892650944,0.05411431591896027,0.06310167929089237,-0.13432152652293564,0.002433450373871366,0.06553810576255248,0.0726854639252653,0.08361763629782529,0.01290848812603762,-0.0030076406980072386,0.029082515240064468,-0.006285361093963519,-0.007831266115688391,0.002692615186964909,-0.07037414192798484,0.3541968640595109,-0.010185543101982178,-0.0665205693036533,0.023671914783945397,-0.019274127153122666,-0.03380834510231408,-0.07544507239802378,0.2862256407419094,0.16132765703008084,-0.1662322410459388,0.002314534764039337,0.007264891423954537,-0.15885879520755847,0.015680722532461666,-0.012482576199713427,0.013317821672042344,-0.0626003916731261,0.11449125188640864,0.09353958715102278,0.052174250607296205,0.012301904497394349,0.03581283311620571
