,Unnamed: 0,ResponseId,ConvertedCompYearly,C++,HTML/CSS,JavaScript,Objective-C,PHP,Swift,Python,Assembly,C,R,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Ruby,Perl,Matlab,Kotlin,Julia,Haskell,Delphi,Go,Scala,Dart,VBA,Groovy,Clojure,APL,LISP,F#,Elixir,Erlang,Crystal,COBOL,PostgreSQL,SQLite,Elasticsearch,Redis,MySQL,Microsoft SQL Server,Oracle,MongoDB,MariaDB,DynamoDB,Couchbase,Firebase,Cassandra,IBM DB2,Laravel,Symfony,Angular,Flask,Vue.js,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,FastAPI,ASP.NET Core ,Spring,Svelte,ASP.NET,Gatsby,Drupal,Heroku,Microsoft Azure,AWS,Google Cloud Platform,DigitalOcean,Oracle Cloud Infrastructure,IBM Cloud or Watson
Unnamed: 0,0.0,0.0,0.2229,0.0136,0.3658,0.117,0.0564,0.6414,0.683,0.1488,0.1039,0.0011,0.0201,0.0,0.0037,0.0276,0.2084,0.5882,0.3187,0.4061,0.3378,0.152,0.1016,0.9433,0.06,0.0,0.2191,0.0296,0.0056,0.2291,0.6105,0.1254,0.7664,0.0,0.0987,0.0118,0.0206,0.2599,0.2263,0.4333,0.0221,0.7518,0.0109,0.4271,0.3671,0.0845,0.5352,0.5324,0.2537,0.6827,0.5269,0.6038,0.1331,0.2747,0.6924,0.8253,0.7565,0.0753,0.7631,0.0596,0.4379,0.2011,0.052,0.9149,0.06,0.4405,0.4952,0.8838,0.2811,0.8285,0.3919,0.2226,0.1981,0.0391,0.6001,0.3121,0.0623,0.8409,0.8892,0.1163
ResponseId,0.0,0.0,0.2229,0.0136,0.3658,0.117,0.0564,0.6414,0.683,0.1488,0.1039,0.0011,0.0201,0.0,0.0037,0.0276,0.2084,0.5882,0.3187,0.4061,0.3378,0.152,0.1016,0.9433,0.06,0.0,0.2191,0.0296,0.0056,0.2291,0.6105,0.1254,0.7664,0.0,0.0987,0.0118,0.0206,0.2599,0.2263,0.4333,0.0221,0.7518,0.0109,0.4271,0.3671,0.0845,0.5352,0.5324,0.2537,0.6827,0.5269,0.6038,0.1331,0.2747,0.6924,0.8253,0.7565,0.0753,0.7631,0.0596,0.4379,0.2011,0.052,0.9149,0.06,0.4405,0.4952,0.8838,0.2811,0.8285,0.3919,0.2226,0.1981,0.0391,0.6001,0.3121,0.0623,0.8409,0.8892,0.1163
ConvertedCompYearly,0.2229,0.2229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413,0.0001,0.0094,0.0,0.0375,0.0,0.0,0.0,0.0,0.1419,0.0,0.0,0.0012,0.0031,0.0,0.4432,0.0277,0.0811,0.0,0.0,0.0568,0.0,0.0,0.0,0.0003,0.1706,0.0001,0.0,0.0,0.7511,0.0735,0.0,0.2951,0.0,0.0,0.0,0.0,0.0,0.5832,0.0037,0.0,0.0093,0.0256,0.0,0.0002,0.0,0.0002,0.0057,0.061,0.0,0.0,0.3709,0.0206,0.2148,0.0,0.0023,0.0785,0.0,0.0012,0.2308,0.0,0.9927,0.0006,0.3667,0.1466,0.0,0.0,0.736,0.4095,0.1332
C++,0.0136,0.0136,0.0,0.0,0.0,0.0,0.0,0.4649,0.0003,0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0007,0.0,0.0012,0.0017,0.0,0.0,0.0,0.3495,0.0,0.0,0.0,0.0,0.6897,0.1251,0.0258,0.4049,0.0,0.5643,0.0005,0.0012,0.0318,0.1601,0.4843,0.0,0.0,0.0,0.0,0.0,0.9323,0.0,0.1125,0.1819,0.0022,0.0002,0.3333,0.4667,0.6634,0.5117,0.0907,0.9488,0.0004,0.0,0.0001,0.0,0.0016,0.0,0.9672,0.0,0.1875,0.7002,0.0,0.0,0.9633,0.0,0.0023,0.3914,0.0,0.0061,0.0,0.3626,0.0665,0.986,0.0414
HTML/CSS,0.3658,0.3658,0.0,0.0,0.0,0.0,0.9863,0.0,0.4223,0.0,0.9279,0.0,0.0193,0.0043,0.0,0.0,0.0,0.0,0.2324,0.0,0.0,0.0,0.133,0.0022,0.0846,0.0007,0.9696,0.0469,0.8889,0.0081,0.0011,0.0002,0.7704,0.0,0.0761,0.7881,0.6252,0.3887,0.4376,0.0127,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1144,0.1781,0.0,0.1132,0.0241,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384,0.0,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.3435,0.1138
JavaScript,0.117,0.117,0.0,0.0,0.0,0.0,0.1635,0.0,0.0226,0.0,0.0409,0.0,0.0,0.1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7086,0.0,0.6435,0.0,0.9395,0.0393,0.0221,0.0693,0.0,0.89,0.1874,0.0007,0.1046,0.466,0.1854,0.0,0.1173,0.251,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0225,0.0,0.0,0.0,0.0022,0.0,0.6707,0.5168,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8263,0.5826
Objective-C,0.0564,0.0564,0.0,0.0,0.9863,0.1635,0.0,0.0,0.0,0.5557,0.0,0.0,0.898,0.449,0.006,0.0012,0.0491,0.4036,0.0,0.0,0.6132,0.0008,0.0,0.9134,0.0,0.7655,0.2195,0.0189,0.0,0.4181,0.0,0.5572,0.2099,0.959,0.03,0.0089,0.1522,0.0049,0.0332,0.184,0.0162,0.6713,0.0,0.1922,0.0301,0.0,0.1209,0.1107,0.0,0.0008,0.1837,0.0325,0.0,0.6658,0.9291,0.0,0.0001,0.9867,0.6483,0.0351,0.1825,0.0,0.1417,0.0012,0.1301,0.322,0.3933,0.9424,0.0578,0.072,0.9726,0.0081,0.0,0.0002,0.223,0.0016,0.0001,0.0002,0.9584,0.0
PHP,0.6414,0.6414,0.0,0.4649,0.0,0.0,0.0,0.0,0.0,0.8682,0.3211,0.0684,0.0919,0.0087,0.0007,0.0,0.0,0.1056,0.2668,0.0,0.001,0.2384,0.0,0.604,0.6296,0.2759,0.9946,0.0042,0.178,0.0009,0.0527,0.0,0.0554,0.0092,0.2932,0.1799,0.1598,0.9821,0.3191,0.1299,0.0026,0.8344,0.0,0.0,0.0,0.0,0.8578,0.2078,0.0,0.0,0.5458,0.0377,0.0,0.8241,0.0546,0.0,0.0,0.0004,0.3121,0.0,0.0,0.0,0.0,0.0,0.2946,0.0007,0.5998,0.0084,0.4616,0.0023,0.5884,0.0,0.0,0.0,0.8041,0.0,0.0,0.0,0.0724,0.0251
Swift,0.683,0.683,0.0,0.0003,0.4223,0.0226,0.0,0.0,0.0,0.7503,0.1124,0.0,0.588,0.0028,0.0,0.5217,0.0014,0.1225,0.0,0.0,0.1062,0.0016,0.0303,0.1654,0.0,0.6706,0.1508,0.9672,0.0053,0.5717,0.0,0.3926,0.1031,0.3519,0.0477,0.1374,0.0509,0.0,0.004,0.0151,0.0009,0.0721,0.0,0.3782,0.0151,0.0017,0.0032,0.6921,0.0,0.1677,0.0037,0.0006,0.0,0.6803,0.7172,0.0,0.0503,0.0278,0.7709,0.0149,0.6694,0.0,0.0002,0.0249,0.1583,0.0642,0.7739,0.1449,0.1114,0.0002,0.0968,0.0048,0.0002,0.0,0.6716,0.0006,0.0,0.0,0.6145,0.0018
Python,0.1488,0.1488,0.0,0.0,0.0,0.0,0.5557,0.8682,0.7503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4558,0.0,0.0,0.0105,0.043,0.0009,0.0,0.0,0.0124,0.0,0.0,0.0003,0.0,0.0,0.0881,0.2369,0.0,0.0638,0.0808,0.0,0.7591,0.239,0.936,0.2958,0.9112,0.0,0.0,0.0,0.0,0.0,0.0,0.8181,0.0,0.0,0.0,0.2226,0.7763,0.006,0.5526,0.4593,0.7992,0.0,0.0,0.3358,0.0,0.0253,0.0686,0.0014,0.0,0.0,0.0,0.0,0.8269,0.4924,0.0,0.1384,0.2382,0.2082,0.0,0.0,0.0,0.0,0.2451,0.0007
